Fighter Name,Birth Date,Height,Weight,Wins,Losses,Win KO,Win TKO Rate,Win Submission,Win Submission Rate,Win Decisions,Win Decisions Rate,Lose KO,Lose TKO Rate,Lose Submission,Lose Submission Rate,Lose Decisions,Lose Decisions Rate,Final Result,Opponent Name,Event Time,Win By,Round,Win Time
Dovletdzhan Yagshimuradov,22-May-89,5'11",205 lbs,25,7,14,56%,4,16%,7,28%,2,29%,3,43%,2,29%,win,Luis Fernando Miranda,Jan / 27 / 2018,KO (Punch),1,1:03
Dovletdzhan Yagshimuradov,22-May-89,5'11",205 lbs,25,7,14,56%,4,16%,7,28%,2,29%,3,43%,2,29%,win,Joachim Christensen,Nov / 25 / 2017,KO (Punch),1,1:14
Dovletdzhan Yagshimuradov,22-May-89,5'11",205 lbs,25,7,14,56%,4,16%,7,28%,2,29%,3,43%,2,29%,win,Jared Torgeson,Jun / 17 / 2017,Submission (Rear-Naked Choke),3,0:39
Dovletdzhan Yagshimuradov,22-May-89,5'11",205 lbs,25,7,14,56%,4,16%,7,28%,2,29%,3,43%,2,29%,win,Dan Konecke,Jan / 21 / 2017,TKO (Knee and Punches),2,2:44
Dovletdzhan Yagshimuradov,22-May-89,5'11",205 lbs,25,7,14,56%,4,16%,7,28%,2,29%,3,43%,2,29%,win,Vitaliy Onishchenko,May / 14 / 2016,Decision (Unanimous),2,5:00
Dovletdzhan Yagshimuradov,22-May-89,5'11",205 lbs,25,7,14,56%,4,16%,7,28%,2,29%,3,43%,2,29%,loss,Mikhail Ragozin,Sep / 20 / 2015,TKO (Punches),3,2:00
Dovletdzhan Yagshimuradov,22-May-89,5'11",205 lbs,25,7,14,56%,4,16%,7,28%,2,29%,3,43%,2,29%,win,Maxim Kushnerenko,Aug / 28 / 2015,KO (Punch),1,0:27
Dovletdzhan Yagshimuradov,22-May-89,5'11",205 lbs,25,7,14,56%,4,16%,7,28%,2,29%,3,43%,2,29%,loss,Magomed Ankalaev,Oct / 18 / 2014,Decision (Unanimous),3,5:00
Dovletdzhan Yagshimuradov,22-May-89,5'11",205 lbs,25,7,14,56%,4,16%,7,28%,2,29%,3,43%,2,29%,win,Fuad Gadirov,Dec / 28 / 2013,KO (Punch),2,3:59
Dovletdzhan Yagshimuradov,22-May-89,5'11",205 lbs,25,7,14,56%,4,16%,7,28%,2,29%,3,43%,2,29%,win,Borys Polezhai,Nov / 02 / 2013,TKO (Corner Stoppage),1,2:31
Dovletdzhan Yagshimuradov,22-May-89,5'11",205 lbs,25,7,14,56%,4,16%,7,28%,2,29%,3,43%,2,29%,win,Arsen Mensitov,Jun / 20 / 2013,TKO (Punches),1,1:39
Dovletdzhan Yagshimuradov,22-May-89,5'11",205 lbs,25,7,14,56%,4,16%,7,28%,2,29%,3,43%,2,29%,win,Bogdan Savchenko,May / 11 / 2013,Decision (Unanimous),3,5:00
Dovletdzhan Yagshimuradov,22-May-89,5'11",205 lbs,25,7,14,56%,4,16%,7,28%,2,29%,3,43%,2,29%,win,Anton Stepanenko,Apr / 27 / 2013,TKO (Punches),1,0:53
Dovletdzhan Yagshimuradov,22-May-89,5'11",205 lbs,25,7,14,56%,4,16%,7,28%,2,29%,3,43%,2,29%,loss,Aleksander Boyko,Mar / 23 / 2013,Submission (Guillotine Choke),1,0:17
Dovletdzhan Yagshimuradov,22-May-89,5'11",205 lbs,25,7,14,56%,4,16%,7,28%,2,29%,3,43%,2,29%,win,Mihail Petkov,Mar / 09 / 2013,Submission (Rear-Naked Choke),1,3:07
Dovletdzhan Yagshimuradov,22-May-89,5'11",205 lbs,25,7,14,56%,4,16%,7,28%,2,29%,3,43%,2,29%,loss,Rashid Yusupov,Feb / 16 / 2013,Submission (Armbar),2,4:45
Dovletdzhan Yagshimuradov,22-May-89,5'11",205 lbs,25,7,14,56%,4,16%,7,28%,2,29%,3,43%,2,29%,win,Alexander Barbaryan,Jan / 05 / 2013,Submission (Achilles Lock),1,2:15
Dovletdzhan Yagshimuradov,22-May-89,5'11",205 lbs,25,7,14,56%,4,16%,7,28%,2,29%,3,43%,2,29%,win,Sergei Lewandowskiy,Dec / 21 / 2012,TKO (Punches),1,0:30
Dovletdzhan Yagshimuradov,22-May-89,5'11",205 lbs,25,7,14,56%,4,16%,7,28%,2,29%,3,43%,2,29%,win,Arthur Vartanian,Nov / 24 / 2012,TKO (Punches),1,1:57
Dovletdzhan Yagshimuradov,22-May-89,5'11",205 lbs,25,7,14,56%,4,16%,7,28%,2,29%,3,43%,2,29%,loss,Vasily Babich,May / 13 / 2012,Submission (Inverted Triangle Choke),2,1:58
Dovletdzhan Yagshimuradov,22-May-89,5'11",205 lbs,25,7,14,56%,4,16%,7,28%,2,29%,3,43%,2,29%,draw,Rudolf Kriz,Mar / 25 / 2012,Draw,2,5:00
Shamil Musaev,8-Jan-94,5'10",170 lbs,18,0,12,67%,2,11%,4,22%,0,0%,0,0%,0,0%,win,Magomed Umalatov,Nov / 29 / 2024,TKO (Punches),3,1:44
Shamil Musaev,8-Jan-94,5'10",170 lbs,18,0,12,67%,2,11%,4,22%,0,0%,0,0%,0,0%,win,Murad Ramazanov,Aug / 23 / 2024,Decision (Unanimous),3,5:00
Shamil Musaev,8-Jan-94,5'10",170 lbs,18,0,12,67%,2,11%,4,22%,0,0%,0,0%,0,0%,win,Murad Ramazanov,Jun / 28 / 2024,TKO (Punches),2,1:51
Shamil Musaev,8-Jan-94,5'10",170 lbs,18,0,12,67%,2,11%,4,22%,0,0%,0,0%,0,0%,win,Logan Storley,Apr / 19 / 2024,KO (Punches),2,0:27
Shamil Musaev,8-Jan-94,5'10",170 lbs,18,0,12,67%,2,11%,4,22%,0,0%,0,0%,0,0%,win,Alexey Kunchenko,Jul / 28 / 2023,TKO (Spinning Back Kick and Punches),1,1:26
Shamil Musaev,8-Jan-94,5'10",170 lbs,18,0,12,67%,2,11%,4,22%,0,0%,0,0%,0,0%,draw,Michal Pietrzak,Oct / 23 / 2021,Draw (Majority),3,5:00
Shamil Musaev,8-Jan-94,5'10",170 lbs,18,0,12,67%,2,11%,4,22%,0,0%,0,0%,0,0%,win,Uros Jurisic,Jan / 30 / 2021,Decision (Unanimous),3,5:00
Shamil Musaev,8-Jan-94,5'10",170 lbs,18,0,12,67%,2,11%,4,22%,0,0%,0,0%,0,0%,win,Grzegorz Szulakowski,Dec / 07 / 2019,KO (Spinning Back Fist),1,1:17
Shamil Musaev,8-Jan-94,5'10",170 lbs,18,0,12,67%,2,11%,4,22%,0,0%,0,0%,0,0%,win,Hubert Szymajda,Apr / 27 / 2019,TKO (Punches),1,3:52
Shamil Musaev,8-Jan-94,5'10",170 lbs,18,0,12,67%,2,11%,4,22%,0,0%,0,0%,0,0%,win,Marat Khasanov,Dec / 27 / 2018,TKO (Punches),1,3:08
Shamil Musaev,8-Jan-94,5'10",170 lbs,18,0,12,67%,2,11%,4,22%,0,0%,0,0%,0,0%,win,Muller da Silva Couto,Mar / 10 / 2018,Submission (Rear-Naked Choke),1,2:52
Shamil Musaev,8-Jan-94,5'10",170 lbs,18,0,12,67%,2,11%,4,22%,0,0%,0,0%,0,0%,win,Rasul Samadov,May / 20 / 2017,KO (Head Kick),1,2:47
Shamil Musaev,8-Jan-94,5'10",170 lbs,18,0,12,67%,2,11%,4,22%,0,0%,0,0%,0,0%,win,Gergo Bodis,Aug / 12 / 2016,Submission (Rear-Naked Choke),1,2:24
Shamil Musaev,8-Jan-94,5'10",170 lbs,18,0,12,67%,2,11%,4,22%,0,0%,0,0%,0,0%,win,Mirlan Tilekbaev,Mar / 05 / 2016,TKO (Punches),2,1:26
Shamil Musaev,8-Jan-94,5'10",170 lbs,18,0,12,67%,2,11%,4,22%,0,0%,0,0%,0,0%,win,Felipe Salvador Nsue Ayiugono,Nov / 22 / 2014,KO (Punch),1,1:12
Shamil Musaev,8-Jan-94,5'10",170 lbs,18,0,12,67%,2,11%,4,22%,0,0%,0,0%,0,0%,win,Roman Mironenko,Jun / 15 / 2014,Decision (Unanimous),2,5:00
Shamil Musaev,8-Jan-94,5'10",170 lbs,18,0,12,67%,2,11%,4,22%,0,0%,0,0%,0,0%,win,Paval Masalski,May / 27 / 2014,TKO (Punches),2,2:30
Shamil Musaev,8-Jan-94,5'10",170 lbs,18,0,12,67%,2,11%,4,22%,0,0%,0,0%,0,0%,win,Ravil Gadjiev,Sep / 14 / 2013,Decision (Unanimous),2,5:00
Shamil Musaev,8-Jan-94,5'10",170 lbs,18,0,12,67%,2,11%,4,22%,0,0%,0,0%,0,0%,win,Muslim Mubarakshoev,Jun / 30 / 2013,TKO (Doctor Stoppage),1,4:45
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Oleg Popov,Nov / 29 / 2024,Technical Submission (Triangle Choke),1,2:55
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Tim Johnson,Aug / 02 / 2024,TKO (Punches),1,2:26
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Thiago Santos,Jun / 13 / 2024,TKO (Punches),1,2:22
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Linton Vassell,Apr / 04 / 2024,TKO (Punches),3,3:11
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,loss,Renan Ferreira,Nov / 24 / 2023,TKO (Punches),2,0:26
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Jordan Heiderman,Aug / 18 / 2023,Submission (Arm-Triangle Choke),1,4:16
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Yorgan De Castro,Jun / 16 / 2023,KO (Punch),1,0:18
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Cezar Ferreira,Apr / 14 / 2023,KO (Punches),1,2:07
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Maurice Greene,Jun / 24 / 2022,Decision (Unanimous),3,5:00
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Cody Goodale,Apr / 28 / 2022,TKO (Punches),1,3:20
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,loss,Ante Delija,Aug / 19 / 2021,Decision (Unanimous),3,5:00
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Brandon Sayles,Jun / 25 / 2021,TKO (Punches),3,1:24
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Muhammed DeReese,May / 06 / 2021,TKO (Punches),1,4:21
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,loss,Ali Isaev,Oct / 31 / 2019,TKO (Punches),3,4:59
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Satoshi Ishii,Oct / 31 / 2019,Decision (Majority),2,5:00
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Kelvin Tiller,Aug / 08 / 2019,Submission (Ezekiel Choke),2,3:40
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Jared Rosholt,Jun / 06 / 2019,TKO (Punches),1,2:03
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Ednaldo Oliveira,Aug / 22 / 2018,Submission (Brabo Choke),2,4:51
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Atanas Djambazov,Feb / 25 / 2018,Submission (Ezekiel Choke),1,4:59
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Chase Gormley,Dec / 23 / 2017,KO (Punch),2,2:16
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,loss,Mukhomad Vakhaev,Aug / 19 / 2017,TKO (Submission to Punches),4,1:57
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Salimgerey Rasulov,Dec / 18 / 2016,Decision (Unanimous),5,5:00
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Paul Buentello,Jul / 15 / 2016,KO (Head Kick),1,3:07
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Mike Kyle,Mar / 26 / 2016,Technical Submission (Triangle Choke),1,2:18
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,John Hawk,Oct / 09 / 2015,TKO (Punches),1,2:14
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,James McSweeney,Jul / 24 / 2015,TKO (Head Kick and Punches),2,0:46
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Peter Graham,Apr / 03 / 2015,Submission (Kimura),2,3:23
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Zoumana Cisse,Dec / 12 / 2014,Submission (Armbar),1,4:04
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Brett Rogers,Sep / 19 / 2014,Decision (Unanimous),3,5:00
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Roy Boughton,May / 23 / 2014,Decision (Unanimous),3,5:00
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Ivo Skopljak,Mar / 21 / 2014,Submission (Armbar),1,1:50
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Szymon Bajor,Dec / 21 / 2013,KO (Punch),2,4:07
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Dritan Barjamaj,Aug / 17 / 2013,Submission (Guillotine Choke),1,1:00
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Tadas Rimkevicius,Dec / 14 / 2012,TKO (Punches),1,1:25
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Yuri Gorbenko,Sep / 02 / 2012,KO (Head Kick),2,0:58
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,loss,Akhmed Sultanov,Jun / 21 / 2012,Submission (Heel Hook),1,1:28
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Konstantin Erokhin,Apr / 06 / 2012,KO (Backfist),3,0:00
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Teymur Aslanov,Nov / 19 / 2011,Submission (Triangle Choke),1,1:55
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,loss,Alexander Volkov,Apr / 28 / 2011,TKO (Punches),2,3:05
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,loss,Dmitry Poberezhets,Apr / 09 / 2011,Submission (Rear-Naked Choke),2,1:54
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Ilya Dzhadugishvili,Feb / 13 / 2011,TKO (Punches),1,1:26
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,loss,Ibragim   Ibragimov,Dec / 25 / 2010,Submission (Heel Hook),1,4:35
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Marat Aliaskhabov,Oct / 28 / 2010,Submission (Straight Armbar),1,4:56
Denis Goltsov,10-Jun-90,6'5",248 lbs,36,8,18,50%,12,33%,6,17%,4,50%,3,38%,1,13%,win,Igor Kukurudziak,Aug / 19 / 2010,Decision (Unanimous),3,5:00
Timur Khizriev,19-Nov-95,5'8",146 lbs,18,0,3,17%,1,6%,14,78%,0,0%,0,0%,0,0%,win,Brendan Loughnane,Nov / 29 / 2024,Decision (Unanimous),5,5:00
Timur Khizriev,19-Nov-95,5'8",146 lbs,18,0,3,17%,1,6%,14,78%,0,0%,0,0%,0,0%,win,Gabriel Braga,Aug / 23 / 2024,Decision (Split),3,5:00
Timur Khizriev,19-Nov-95,5'8",146 lbs,18,0,3,17%,1,6%,14,78%,0,0%,0,0%,0,0%,win,Enrique Barzola,Jun / 28 / 2024,Decision (Unanimous),3,5:00
Timur Khizriev,19-Nov-95,5'8",146 lbs,18,0,3,17%,1,6%,14,78%,0,0%,0,0%,0,0%,win,Brett Johns,Apr / 19 / 2024,Decision (Unanimous),3,5:00
Timur Khizriev,19-Nov-95,5'8",146 lbs,18,0,3,17%,1,6%,14,78%,0,0%,0,0%,0,0%,win,Justin Gonzales,Nov / 17 / 2023,Decision (Unanimous),3,5:00
Timur Khizriev,19-Nov-95,5'8",146 lbs,18,0,3,17%,1,6%,14,78%,0,0%,0,0%,0,0%,win,Richie Smullen,Jun / 16 / 2023,Decision (Unanimous),3,5:00
Timur Khizriev,19-Nov-95,5'8",146 lbs,18,0,3,17%,1,6%,14,78%,0,0%,0,0%,0,0%,win,Daniel Weichel,Nov / 18 / 2022,Decision (Unanimous),3,5:00
Timur Khizriev,19-Nov-95,5'8",146 lbs,18,0,3,17%,1,6%,14,78%,0,0%,0,0%,0,0%,win,Ruslan Ryskul,Sep / 17 / 2021,Technical Submission (Guillotine Choke),1,3:06
Timur Khizriev,19-Nov-95,5'8",146 lbs,18,0,3,17%,1,6%,14,78%,0,0%,0,0%,0,0%,win,Alexander Belikh,Dec / 25 / 2020,Decision (Unanimous),3,5:00
Timur Khizriev,19-Nov-95,5'8",146 lbs,18,0,3,17%,1,6%,14,78%,0,0%,0,0%,0,0%,win,Baish Babakulov,Aug / 22 / 2020,TKO (Punches),1,2:55
Timur Khizriev,19-Nov-95,5'8",146 lbs,18,0,3,17%,1,6%,14,78%,0,0%,0,0%,0,0%,win,Bibert Tumenov,Mar / 23 / 2019,Decision (Unanimous),5,5:00
Timur Khizriev,19-Nov-95,5'8",146 lbs,18,0,3,17%,1,6%,14,78%,0,0%,0,0%,0,0%,win,Yusup-Khadzhi Zubariev,Dec / 22 / 2018,Decision (Unanimous),3,5:00
Timur Khizriev,19-Nov-95,5'8",146 lbs,18,0,3,17%,1,6%,14,78%,0,0%,0,0%,0,0%,win,Musa Visengeriev,Oct / 13 / 2018,Decision (Unanimous),3,5:00
Timur Khizriev,19-Nov-95,5'8",146 lbs,18,0,3,17%,1,6%,14,78%,0,0%,0,0%,0,0%,win,Maxim Pugachev,Apr / 15 / 2018,Decision (Unanimous),3,5:00
Timur Khizriev,19-Nov-95,5'8",146 lbs,18,0,3,17%,1,6%,14,78%,0,0%,0,0%,0,0%,win,Martiros Grigoryan,Sep / 04 / 2017,TKO (Head Kick and Punches),1,2:09
Timur Khizriev,19-Nov-95,5'8",146 lbs,18,0,3,17%,1,6%,14,78%,0,0%,0,0%,0,0%,win,Bolin Li,Sep / 23 / 2016,Decision (Unanimous),3,5:00
Timur Khizriev,19-Nov-95,5'8",146 lbs,18,0,3,17%,1,6%,14,78%,0,0%,0,0%,0,0%,win,Zaur Asukov,Sep / 12 / 2014,TKO (Punches),1,4:56
Timur Khizriev,19-Nov-95,5'8",146 lbs,18,0,3,17%,1,6%,14,78%,0,0%,0,0%,0,0%,win,Roman Kishev,Aug / 30 / 2014,Decision (Unanimous),2,5:00
Cong Wang,15-May-92,5'7",125 lbs,6,1,2,33%,2,33%,2,33%,0,0%,1,100%,0,0%,loss,Gabriella Fernandes,Nov / 23 / 2024,Technical Submission (Rear-Naked Choke),2,3:49
Cong Wang,15-May-92,5'7",125 lbs,6,1,2,33%,2,33%,2,33%,0,0%,1,100%,0,0%,win,Victoria Leonardo,Aug / 24 / 2024,KO (Punches),1,1:02
Cong Wang,15-May-92,5'7",125 lbs,6,1,2,33%,2,33%,2,33%,0,0%,1,100%,0,0%,win,Paula Luna,May / 18 / 2024,Submission (Guillotine Choke),1,3:04
Cong Wang,15-May-92,5'7",125 lbs,6,1,2,33%,2,33%,2,33%,0,0%,1,100%,0,0%,win,Yanan Wu,Jan / 20 / 2024,Decision (Unanimous),3,5:00
Cong Wang,15-May-92,5'7",125 lbs,6,1,2,33%,2,33%,2,33%,0,0%,1,100%,0,0%,win,Amena Hadaya,Oct / 17 / 2023,Decision (Unanimous),3,5:00
Cong Wang,15-May-92,5'7",125 lbs,6,1,2,33%,2,33%,2,33%,0,0%,1,100%,0,0%,win,Tae Murayama,Jul / 22 / 2023,TKO (Head Kick and Punches),1,1:53
Cong Wang,15-May-92,5'7",125 lbs,6,1,2,33%,2,33%,2,33%,0,0%,1,100%,0,0%,win,Hongfeng Ji,Jul / 09 / 2022,Submission (Rear-Naked Choke),2,N/A
